Date and Time deployed (local),Date and Time recovered (local),AudioMoth #,SD card #,Site,Latitude,Longitude,Sampling rate (Hz),Gain,Filter,Amplitude threshold,Battery start (V),Battery end (V),Deployer,Scribe,Uploader,Upload folder name,Notes
2022-09-29T17:40:00,2022-10-03T10:20:00,D,010,Carp Pond,47° 39' 15.870'' N,122° 17' 42.162'' W,192000,Medium,None,None,4.157,3.767,JS,JS,AK,recover-20221003,Panasonic
2022-09-29T17:59:00,2022-10-03T10:36:00,E,011,Fallen Tree,47° 39' 22.842'' N,122° 17' 34.140'' W,192000,Medium,None,None,4.170,3.592,JS,JS,AK,recover-20221003,Panasonic
2022-09-29T18:14:00,2022-10-03T10:46:00,F,012,Opposite Central Pond,47° 39' 19.482'' N,122° 17' 35.352'' W,192000,Medium,None,None,4.162,3.608,AK,JS,AK,recover-20221003,IKEA
2022-10-03T09:55:00,2022-10-06T16:22:00,A,001,Telephone Field,47° 39' 24.642'' N,122° 17' 29.250'' W,192000,Medium,None,None,4.167,3.701,JS,JS,AK,recover-20221006,IKEA
2022-10-03T10:05:00,2022-10-06T16:36:00,B,002,Foliage,47° 39' 18.552'' N,122° 17' 26.832'' W,192000,Medium,None,None,4.116,3.665,AK,JS,AK,recover-20221006,Panasonic
2022-10-03T10:13:00,2022-10-06T16:48:00,C,003,Central Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.225,3.724,JS,JS,AK,recover-20221006,IKEA
2022-10-03T10:25:00,2022-10-06T17:03:00,D,004,Carp Pond,47° 39' 15.948'' N,122° 17' 42.018'' W,192000,Medium,None,None,4.238,3.690,JS,JS,AK,recover-20221006,IKEA
2022-10-03T10:40:00,2022-10-06T17:29:00,E,005,Fallen Tree,No Valid Info,No Valid Info,192000,Medium,None,None,4.117,3.634,JS,JS,AK,recover-20221006,Panasonic
2022-10-03T10:50:00,2022-10-06T17:47:00,F,006,Opposite Central Pond,47° 39' 19.812'' N,122° 17' 35.652'' W,192000,Medium,None,None,4.122,3.648,AK,JS,AK,recover-20221006,Panasonic
2022-10-06T16:27:00,2022-10-10T10:17:00,A,007,Telephone Field,No Valid Info,No Valid Info,192000,Medium,None,None,4.213,3.088,JS,JS,AK,recover-20221010,IKEA
2022-10-06T16:41:00,2022-10-10T10:29:00,B,008,Foliage,47° 39' 18.600'' N,122° 17' 26.778'' W,192000,Medium,None,None,4.225,3.526,AK,JS,AK,recover-20221010,Panasonic
2022-10-06T16:54:00,2022-10-10T10:44:00,C,009,Central Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.197,3.766,JS,JS,AK,recover-20221010,IKEA
2022-10-06T17:10:00,2022-10-10T11:04:00,D,010,Carp Pond,47° 39' 15.732'' N,122° 17' 42.822'' W,192000,Medium,None,None,4.210,3.627,AK,JS,AK,recover-20221010,IKEA
2022-10-06T17:36:00,2022-10-10T11:28:00,E,011,Fallen Tree,47° 39' 23.088'' N,122° 17' 33.588'' W,192000,Medium,None,None,4.157,3.558,JS,JS,AK,recover-20221010,Panasonic
2022-10-06T17:50:00,2022-10-10T11:28:00,F,012,Opposite Central Pond,47° 39' 19.548'' N,122° 17' 35.592'' W,192000,Medium,None,None,4.125,3.592,AK,JS,AK,recover-20221010,IKEA
2022-10-10T10:20:00,2022-10-13T16:43:00,A,001,Telephone Field,47° 39' 24.882'' N,122° 17' 26.718'' W,192000,Medium,None,None,4.132,3.669,JS,JS,AK,recover-20221013,IKEA
2022-10-10T10:33:00,2022-10-13T17:00:00,B,002,Foliage,47° 39' 19.092'' N,122° 17' 26.592'' W,192000,Medium,None,None,4.178,3.658,AK,JS,AK,recover-20221013,Panasonic
2022-10-10T10:49:00,2022-10-13T17:12:00,C,003,Central Pond,47° 39' 17.058'' N,122° 17' 34.218'' W,192000,Medium,None,None,4.201,3.690,JS,JS,AK,recover-20221013,Panasonic
2022-10-10T11:10:00,2022-10-13T17:24:00,D,004,Carp Pond,47° 39' 15.918'' N,122° 17' 41.940'' W,192000,Medium,None,None,4.165,3.707,JS,JS,AK,recover-20221013,IKEA
2022-10-10T11:34:00,2022-10-13T17:42:00,E,005,Fallen Tree,47° 39' 21.018'' N,122° 17' 33.618'' W,192000,Medium,None,None,4.149,3.684,JS,JS,AK,recover-20221013,Mixed Batteries (4 IKEA + 2 Panasonic)
2022-10-10T11:51:00,2022-10-13T17:52:00,F,006,Opposite Central Pond,47° 39' 19.902'' N,122° 17' 35.760'' W,192000,Medium,None,None,4.790,3.818,AK,JS,AK,recover-20221013,6 Duracell non-rechargeable batteries
2022-10-13T16:50:00,2022-10-17T10:03:00,A,007,Telephone Field,No Valid Info,No Valid Info,192000,Medium,None,None,4.198,3.568,JS,JS,AK,recover-20221017,IKEA
2022-10-13T17:03:00,2022-10-17T10:20:00,B,008,Foliage,No Valid Info,No Valid Info,192000,Medium,None,None,4.152,3.498,AK,JS,AK,recover-20221017,Panasonic
2022-10-13T17:15:00,2022-10-17T10:28:00,C,009,Central Pond,47° 39' 17.010'' N,122° 17' 34.302'' W,192000,Medium,None,None,4.174,3.741,JS,JS,AK,recover-20221017,IKEA
2022-10-13T17:28:00,2022-10-17T10:37:00,D,010,Carp Pond,47° 39' 17.058'' N,122° 17' 42.162'' W,192000,Medium,None,None,4.166,3.790,JS,JS,AK,recover-20221017,IKEA
2022-10-13T17:45:00,2022-10-17T10:49:00,E,011,Fallen Tree,47° 39' 23.082'' N,122° 17' 33.918'' W,192000,Medium,None,None,4.137,3.513,AK,JS,AK,recover-20221017,Panasonic
2022-10-13T17:57:00,2022-10-17T10:58:00,F,012,Opposite Central Pond,47° 39' 19.740'' N,122° 17' 35.538'' W,192000,Medium,None,None,4.161,3.581,AK,JS,AK,recover-20221017,Panasonic
2022-10-17T10:08:00,2022-10-27T12:20:00,A,001,Telephone Field,No Valid Info,No Valid Info,192000,Medium,None,None,4.134,3.870,JS,JS,AK,recover-20221027,IKEA
2022-10-17T10:22:00,2022-10-27T12:30:00,B,002,Foliage,No Valid Info,No Valid Info,192000,Medium,None,None,4.202,3.862,AK,JS,AK,recover-20221027,IKEA
2022-10-17T10:30:00,2022-10-27T12:41:00,C,003,Central Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.131,3.863,JS,JS,AK,recover-20221027,Panasonic
2022-10-17T10:40:00,2022-10-27T12:52:00,D,004,Carp Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.145,3.867,JS,JS,AK,recover-20221027,Panasonic
2022-10-17T10:51:00,2022-10-27T13:04:00,E,005,Fallen Tree,No Valid Info,No Valid Info,192000,Medium,None,None,4.122,3.880,JS,JS,AK,recover-20221027,IKEA
2022-10-17T11:01:00,2022-10-27T13:13:00,F,006,Opposite Central Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.123,3.882,AK,JS,AK,recover-20221027,IKEA
2022-10-27T12:24:00,2022-11-10T12:09:00,A,007,Telephone Field,47° 39' 24.132'' N,122° 17' 29.550'' W,192000,Medium,None,None,4.240,3.805,JS,JS,AK,recover-20221110,Panasonic
2022-10-27T12:34:00,2022-11-10T12:20:00,B,008,Foliage,47° 39' 17.778'' N,122° 17' 27.192'' W,192000,Medium,None,None,4.175,3.820,AK,JS,AK,recover-20221110,IKEA
2022-10-27T12:46:00,2022-11-10T12:31:00,C,009,Central Pond,47° 39' 16.950'' N,122° 17' 34.500'' W,192000,Medium,None,None,4.240,3.847,JS,JS,AK,recover-20221110,Panasonic
2022-10-27T12:55:00,2022-11-10T12:43:00,D,010,Carp Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.127,3.861,JS,JS,AK,recover-20221110,IKEA
2022-10-27T13:06:00,2022-11-10T12:58:00,E,011,Fallen Tree,47° 39' 22.878'' N,122° 17' 33.732'' W,192000,Medium,None,None,4.203,3.830,JS,JS,AK,recover-20221110,IKEA
2022-10-27T13:16:00,2022-11-10T13:08:00,F,012,Opposite Central Pond,47° 39' 20.022'' N,122° 17' 35.982'' W,192000,Medium,None,None,4.238,3.829,AK,JS,AK,recover-20221110,Panasonic
2022-11-10T12:13:00,2022-11-23T12:49:00,A,001,Telephone Field,47° 39' 31.002'' N,122° 17' 17.880'' W,192000,Medium,None,None,4.209,3.877,JS,AK,JS,recover-20221123,Panasonic
2022-11-10T12:24:00,2022-11-23T13:45:00,B,002,Foliage,No Valid Info,No Valid Info,192000,Medium,None,None,4.225,3.828,AK,JS,JS,recover-20221123,IKEA
2022-11-10T12:35:00,2022-11-23T14:03:00,C,003,Central Pond,47° 39' 16.650'' N,122° 17' 35.100'' W,192000,Medium,None,None,4.182,3.814,JS,AK,JS,recover-20221123,IKEA
2022-11-10T12:47:00,2022-11-23T14:28:00,D,004,Carp Pond,47° 39' 15.912'' N,122° 17' 42.078'' W,192000,Medium,None,None,4.206,1.974,JS,AK,JS,recover-20221123,IKEA
2022-11-10T13:02:00,2022-11-23T13:13:00,E,005,Fallen Tree,47° 39' 22.830'' N,122° 17' 33.288'' W,192000,Medium,None,None,4.226,3.819,JS,AK,JS,recover-20221123,IKEA
2022-11-10T13:11:00,2022-11-23T13:23:00,F,006,Opposite Central Pond,47° 39' 19.632'' N,122° 17' 35.838'' W,192000,Medium,None,None,4.181,3.824,AK,JS,JS,recover-20221123,IKEA
2022-11-23T12:58:00,2022-12-08T13:12:00,A,007,Telephone Field,No Valid Info,No Valid Info,192000,Medium,None,None,4.208,3.757,JS,AK,JS,recover-20221208,Panasonic
2022-11-23T13:53:00,2022-12-08T13:58:00,B,008,Foliage,47° 39' 18.750'' N,122° 17' 26.778'' W,192000,Medium,None,None,4.195,3.771,AK,JS,JS,recover-20221208,IKEA
2022-11-23T14:10:00,2022-12-08T13:44:00,C,009,Central Pond,No Valid Data,No Valid Data,192000,Medium,None,None,4.197,3.839,JS,AK,JS,recover-20221208,IKEA
2022-11-23T14:38:00,2022-12-08T14:31:00,D,010,Carp Pond,47° 39' 15.942'' N,122° 17' 41.940'' W,192000,Medium,None,None,4.100,3.764,JS,AK,JS,recover-20221208,Panasonic
NOT DEPLOYED AT LOCATION,-,E,-,Fallen Tree,-,-,-,-,-,-,-,-,-,-,-,-,No longer deploying at this location moving forward because water level required wading suit (diminishing returns)
2022-11-23T13:29:00,2022-12-08T13:08:00,F,011,Opposite Central Pond,47° 39' 19.668'' N,122° 17' 35.682'' W,192000,Medium,None,None,4.158,3.747,AK,JS,JS,recover-20221208,Panasonic
2022-12-08T12:16:00,2022-12-14T15:02:00,F,001,Opposite Central Pond,47° 39' 19.668'' N,122° 17' 35.262'' W,192000,Medium,None,None,4.192,3.879,AK,JS,JS,recover-20221214,IKEA
2022-12-08T12:35:00,2022-12-14T15:27:00,D,002,Carp Pond,47° 39' 15.888'' N,122° 17' 41.880'' W,192000,Medium,None,None,4.132,3.834,JS,AK,JS,recover-20221214,IKEA
2022-12-08T12:52:00,2022-12-14T15:47:00,C,003,Central Pond,No Valid Data,No Valid Data,192000,Medium,None,None,4.254,3.930,JS,AK,JS,recover-20221214,IKEA
2022-12-08T13:04:00,2022-12-14T16:07:00,B,004,Foliage,No Valid Data,No Valid Data,192000,Medium,None,None,4.242,3.922,AK,JS,JS,recover-20221214,Panasonic
2022-12-08T13:15:00,2022-12-14T16:36:00,A,005,Telephone Field,No Valid Data,No Valid Data,192000,Medium,None,None,4.275,3.926,JS,AK,JS,recover-20221214,Panasonic
2022-12-14T15:09:00,2023-01-10T15:14:00,F,007,Opposite Central Pond,No Valid Data,No Valid Data,192000,Medium,None,None,4.374,3.599,AK,JS,AK,recover-20230110,Panasonic
2022-12-14T15:32:00,2023-01-10T15:23:00,D,008,Carp Pond,47° 39' 15.942'' N,122° 17' 42.432'' W,192000,Medium,None,None,4.236,3.593,AK,JS,AK,recover-20230110,IKEA
2022-12-14T15:54:00,2023-01-10T15:29:00,C,009,Central Pond,47° 39' 17.538'' N,122° 17' 34.110'' W,192000,Medium,None,None,4.242,3.742,JS,JS,AK,recover-20230110,IKEA
2022-12-14T16:19:00,2023-01-10T14:30:00,B,010,Foliage,47° 39' 18.888'' N,122° 17' 26.670'' W,192000,Medium,None,None,4.288,3.754,AK,JS,AK,recover-20230110,Panasonic
2022-12-14T16:44:00,2023-01-10T14:23:00,A,011,Telephone Field,47° 39' 24.642'' N,122° 17' 29.502'' W,192000,Medium,None,None,4.231,3.545,AK,JS,AK,recover-20230110,Panasonic
